id,target_asset,direction,impact_score,confidence,label,reason
cnib-v1-0001,FIS,short,92,97,S92,下架削弱流动性和信心，对FIS压力很重。
cnib-v1-0002,LINK,long,88,95,L88,ETF进展打开机构入口，对LINK提振力度较强。
cnib-v1-0003,FORM,neutral,2,95,N2,事件偏宏观背景，对FORM本身影响很有限。
cnib-v1-0004,CFG,long,88,95,L88,消息改善市场预期，对CFG形成偏强支撑。
cnib-v1-0005,TRUST,short,88,92,S88,安全事件直接冲击信任，对TRUST拖累很重。
cnib-v1-0006,ZEC,long,88,90,L88,ETF进展打开机构入口，对ZEC提振力度较强。
cnib-v1-0007,MLN,neutral,2,90,N2,整体看，新闻主线不在MLN，交易影响更偏边缘，影响有限。
cnib-v1-0008,EDGE,neutral,2,90,N2,事件偏宏观背景，对EDGE本身影响很有限。
cnib-v1-0009,EX,neutral,2,90,N2,整体看，新闻主线不在EX，交易影响更偏边缘，影响有限。
cnib-v1-0010,JST,neutral,2,90,N2,事件偏宏观背景，对JST本身影响很有限。
cnib-v1-0011,HOPE,neutral,2,90,N2,新闻主线不在HOPE，交易影响更偏边缘。
cnib-v1-0012,ORDER,neutral,2,90,N2,这里主要是名称撞车，与ORDER走势关系很弱。
cnib-v1-0013,AN,neutral,2,90,N2,整体看，事件偏宏观背景，对AN本身影响很有限，影响有限。
cnib-v1-0014,BTC,neutral,2,90,N2,整体看，新闻主线不在BTC，交易影响更偏边缘，影响有限。
cnib-v1-0015,TRUST,short,82,88,S82,安全事件直接冲击信任，对TRUST拖累很重。
cnib-v1-0016,SOL,short,82,88,S82,安全事件直接冲击信任，对SOL拖累很重。
cnib-v1-0017,ETH,long,82,88,L82,ETF进展打开机构入口，对ETH提振力度较强。
cnib-v1-0018,SUI,long,82,88,L82,ETF进展打开机构入口，对SUI提振力度较强。
cnib-v1-0019,TAO,long,82,88,L82,ETF进展打开机构入口，对TAO提振力度较强。
cnib-v1-0020,IN,neutral,2,85,N2,整体看，事件偏宏观背景，对IN本身影响很有限，影响有限。
cnib-v1-0021,TOKEN,short,92,85,S92,安全事件直接冲击信任，对TOKEN拖累很重。
cnib-v1-0022,ETH,short,72,85,S72,整体看，安全风险升温，压制ETH市场情绪，影响有限。
cnib-v1-0023,ETH,short,72,85,S72,整体看，安全风险升温，压制ETH市场情绪，影响有限。
cnib-v1-0024,IO,neutral,2,85,N2,整体看，事件偏宏观背景，对IO本身影响很有限，影响有限。
cnib-v1-0025,SIGN,neutral,4,85,N4,这里主要是名称撞车，与SIGN走势关系很弱。
cnib-v1-0026,SOL,short,72,85,S72,整体看，安全风险升温，压制SOL市场情绪，影响有限。
cnib-v1-0027,FLOW,short,88,85,S88,安全事件直接冲击信任，对FLOW拖累很重。
cnib-v1-0028,TRUST,short,82,85,S82,安全事件直接冲击信任，对TRUST拖累很重。
cnib-v1-0029,BNB,neutral,12,85,N12,整体看，交易所消息只间接牵到BNB，影响偏弱，影响有限。
cnib-v1-0030,ZEC,long,82,85,L82,ETF进展打开机构入口，对ZEC提振力度较强。
cnib-v1-0031,MET,neutral,10,85,N10,整体看，新闻主线不在MET，交易影响更偏边缘，影响有限。
cnib-v1-0032,HYPE,neutral,5,85,N5,新闻主线不在HYPE，交易影响更偏边缘。
cnib-v1-0033,WOO,neutral,5,85,N5,这条消息与WOO关联较弱，更像市场背景。
